"sedikit","standar","sering","tinggi","standar","sedang","sering","sedikit","withdrawal (h04)","r84"
"lumayan","standar","jarang","sedang","standar","sedang","jarang","sedikit","withdrawal (h04)","r85"
"lumayan","standar","jarang","sedang","standar","sedang","cukup","sedikit","withdrawal (h04)","r86"
"lumayan","standar","jarang","sedang","standar","sedang","sering","sedikit","withdrawal (h04)","r87"
"lumayan","standar","jarang","tinggi","standar","sedang","jarang","sedikit","withdrawal (h04)","r88"
"lumayan","standar","jarang","tinggi","standar","sedang","cukup","sedikit","withdrawal (h04)","r89"
"lumayan","standar","jarang","tinggi","standar","sedang","sering","sedikit","withdrawal (h04)","r90"
"lumayan","standar","cukup","tinggi","standar","sedang","jarang","sedikit","withdrawal (h04)","r91"
"lumayan","standar","cukup","tinggi","standar","sedang","cukup","sedikit","withdrawal (h04)","r92"
"lumayan","standar","cukup","tinggi","standar","sedang","sering","sedikit","withdrawal (h04)","r93"
"lumayan","standar","sering","sedang","standar","sedang","jarang","sedikit","withdrawal (h04)","r94"
"lumayan","standar","sering","sedang","standar","sedang","cukup","sedikit","withdrawal (h04)","r95"
"lumayan","standar","sering","sedang","standar","sedang","sering","sedikit","withdrawal (h04)","r96"
"lumayan","standar","sering","tinggi","standar","sedang","jarang","sedikit","withdrawal (h04)","r97"
"lumayan","standar","sering","tinggi","standar","sedang","cukup","sedikit","withdrawal (h04)","r98"
"lumayan","standar","sering","tinggi","standar","sedang","sering","sedikit","withdrawal (h04)","r99"
"banyak","standar","jarang","sedang","standar","sedang","jarang","sedikit","withdrawal (h04)","r100"
"banyak","standar","jarang","sedang","standar","sedang","cukup","sedikit","withdrawal (h04)","r101"
"banyak","standar","jarang","sedang","standar","sedang","sering","sedikit","withdrawal (h04)","r102"
"banyak","standar","jarang","tinggi","standar","sedang","jarang","sedikit","withdrawal (h04)","r103"
"banyak","standar","jarang","tinggi","standar","sedang","cukup","sedikit","withdrawal (h04)","r104"
"banyak","standar","jarang","tinggi","standar","sedang","sering","sedikit","withdrawal (h04)","r105"
"banyak","standar","cukup","tinggi","standar","sedang","jarang","sedikit","withdrawal (h04)","r106"
"banyak","standar","cukup","tinggi","standar","sedang","cukup","sedikit","withdrawal (h04)","r107"
"banyak","standar","cukup","tinggi","standar","sedang","sering","sedikit","withdrawal (h04)","r108"
"banyak","standar","sering","sedang","standar","sedang","jarang","sedikit","withdrawal (h04)","r109"
"banyak","standar","sering","sedang","standar","sedang","cukup","sedikit","withdrawal (h04)","r110"
"banyak","standar","sering","sedang","standar","sedang","sering","sedikit","withdrawal (h04)","r111"
